id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
136,ABB,Dec 2012,21.0,626,0,260,907,109,1,0,798,907,2012,201201,False,647.0,0.0,0.7133406835722161
137,ABB,Mar 2014,21.0,767,0,351,1139,98,1,0,1040,1139,2014,201404,False,788.0,0.0,0.6918349429323969
138,ABB,Mar 2015,21.0,916,0,436,1374,96,4,0,1274,1374,2015,201504,False,937.0,0.0,0.6819505094614265
139,ABB,Mar 2016,21.0,1174,0,421,1616,108,3,0,1505,1616,2016,201604,False,1195.0,0.0,0.739480198019802
140,ABB,Mar 2017,21.0,1366,0,679,2066,110,6,0,1950,2066,2017,201704,False,1387.0,0.0,0.6713455953533398
141,ABB,Mar 2018,21.0,1672,0,723,2416,81,2,0,2333,2416,2018,201804,False,1693.0,0.0,0.7007450331125827
142,ABB,Mar 2019,21.0,1987,0,932,2941,105,1,0,2835,2941,2019,201904,False,2008.0,0.0,0.6827609656579394
143,ABB,Mar 2020,21.0,2410,175,940,3547,270,2,0,3275,3547,2020,202004,False,2431.0,0.07198683669271905,0.6853679165491965
144,ABB,Mar 2021,21.0,2581,153,1086,3840,251,1,0,3589,3840,2021,202104,False,2602.0,0.058800922367409685,0.6776041666666667
145,ABB,Mar 2022,21.0,2799,152,1253,4224,271,1,0,3952,4224,2022,202204,False,2820.0,0.05390070921985816,0.6676136363636364
146,ABB,Mar 2023,21.0,3167,113,1254,4556,237,4,0,4315,4556,2023,202304,False,3188.0,0.03544542032622334,0.6997366110623354
147,ABB,Mar 2024,21.0,3678,83,1411,5193,225,10,0,4958,5193,2024,202404,False,3699.0,0.022438496891051634,0.7123050259965338
148,ABB,Sep 2024,21.0,3500,60,1481,5063,216,13,0,4834,5063,2024,202410,False,3521.0,0.017040613462084634,0.6954374876555401
149,ADANIENSOL,Mar 2014,0.1,0,0,0,0,0,0,0,0,0,2014,201404,False,0.1,0.0,
150,ADANIENSOL,Mar 2015,1090.0,-7,9701,708,11492,10573,10,0,909,11492,2015,201504,False,1083.0,8.95752539242844,0.09423947093630351
151,ADANIENSOL,Mar 2016,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,2016,201604,False,2672.0,3.2129491017964074,0.2274816958964754
152,ADANIENSOL,Mar 2017,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,2017,201704,False,2947.0,3.045469969460468,0.23003668722191867
153,ADANIENSOL,Mar 2018,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,2018,201804,False,6057.0,1.7216443784051512,0.35082536924413554
154,ADANIENSOL,Mar 2019,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,2019,201904,False,8043.0,2.50366778565212,0.24703605872596596
155,ADANIENSOL,Mar 2020,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,2020,202004,False,8499.0,2.8528062124955875,0.214021303920828
156,ADANIENSOL,Mar 2021,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,2021,202104,False,8919.0,3.0378966251821953,0.20629597076375075
157,ADANIENSOL,Mar 2022,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,2022,202204,False,9913.0,3.016443054574801,0.20885302545086804
158,ADANIENSOL,Mar 2023,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,2023,202304,False,11749.0,2.916843986722274,0.21784840169101832
