id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,fiscal_year,sort_order,is_ttm,net_profit_margin_pct,expense_ratio_pct,interest_coverage
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,2012,201201,False,8.771929824561402,87.77979431336964,
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,2014,201404,False,8.699472759226714,88.2688927943761,
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,2015,201504,False,10.004368719965049,86.36959370904324,
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,2016,201604,False,9.755164498852334,86.07498087222648,121.66666666666667
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,2017,201704,False,9.541853255253187,86.29004478126076,199.0
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,2018,201804,False,12.15888417222559,84.11158277744087,131.25
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,2019,201904,False,12.231584669747214,83.55531394400653,302.5
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,2020,202004,False,14.488150500855118,81.50500855118496,84.11111111111111
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,2021,202104,False,16.03248259860789,78.60788863109049,51.22222222222222
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,2022,202204,False,16.26297577854671,77.99715041726033,56.94736842105263
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,2023,202304,False,17.74163395027108,77.45372966909703,75.375
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,2024,202404,False,20.533424517011454,75.15814669174217,121.08333333333333
73,ABB,TTM,6066,4519,1547.0,26.0,265,11,72,1728,,1285,605.0,,9999,99999,True,21.183646554566433,74.49719749423014,140.63636363636363
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,2014,201404,False,,,
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,2015,201504,False,-5.343511450381679,22.137404580152673,1.3835616438356164
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,2016,201604,False,16.773017319963536,12.169553327256153,2.013584117032393
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,2017,201704,False,14.464534075104313,31.050069541029206,2.1935840707964602
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,2018,201804,False,28.98073022312373,28.346855983772816,3.1896162528216703
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,2019,201904,False,7.652292950034223,61.98494182067077,1.9971243709561466
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,2020,202004,False,6.184302733006307,62.70147161878066,1.902591599642538
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,2021,202104,False,12.996171670360667,60.20552085432198,1.8658478979688238
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,2022,202204,False,10.978859477704743,62.63101794279623,1.7784355179704017
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,2023,202304,False,9.636650868878357,66.01218686526742,1.6245954692556634
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,2024,202404,False,7.201782380923707,65.61088697537183,2.063968196602819
97,ADANIENSOL,TTM,22099,15507,6592.0,,-844,3183,1912,653,,589,6.0,,9999,99999,True,2.665278971899181,70.17059595456809,2.0710021991831606
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,2013,201304,False,2.6264150943396225,87.0167115902965,1.7242268041237114
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,2014,201404,False,4.815549529546654,82.92354450652446,1.6452744169735227
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,2015,201504,False,3.564725044597844,80.68719460172187,1.7644557823129252
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,2016,201604,False,2.9404845918607387,95.05116443189837,1.2409727339719971
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,2017,201704,False,2.5319574083705145,94.79374811813976,1.5131264916467781
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,2018,201804,False,1.653490702594366,94.32691237056007,1.6304
104,ADANIENT,Mar 2019,40379,38409,1969.0,5.0,504,1625,390,459,32.0,506,7.0,6.0,2019,201904,False,1.2531266252259838,95.12122638004904,1.2116923076923076
105,ADANIENT,Mar 2020,43403,41108,2294.0,5.0,872,1572,472,1122,29.0,1040,10.0,10.0,2020,202004,False,2.3961477317236133,94.71234707278299,1.4592875318066159
106,ADANIENT,Mar 2021,39537,37031,2506.0,6.0,494,1377,537,1086,31.0,1046,8.0,12.0,2021,202104,False,2.645623087234742,93.66163340668234,1.8198983297022513
107,ADANIENT,Mar 2022,69420,65707,3714.0,5.0,1012,2526,1248,952,50.0,788,7.0,14.0,2022,202204,False,1.135119562085854,94.65139729184673,1.4703087885985748
108,ADANIENT,Mar 2023,127540,118722,8818.0,7.0,834,3969,2436,3247,32.0,2422,22.0,6.0,2023,202304,False,1.899012074643249,93.08609063823114,2.2217183169564123
109,ADANIENT,Mar 2024,96421,85044,11377.0,12.0,1146,4555,3042,4926,33.0,3335,28.0,5.0,2024,202404,False,3.458790097592848,88.2007031663227,2.497694840834248
110,ADANIENT,TTM,102311,88418,13893.0,14.0,1489,4150,3541,7691,,6086,49.0,,9999,99999,True,5.948529483633235,86.42081496613268,3.347710843373494
111,ADANIGREEN,Mar 2017,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0,2017,201704,False,-9.362549800796813,19.52191235059761,1.2065868263473054
112,ADANIGREEN,Mar 2018,1480,637,843.0,57.0,42,552,543,-210,-35.0,-138,-1.0,0.0,2018,201804,False,-9.324324324324325,43.04054054054054,1.5271739130434783
