symbol,sales_trend
ABB,UP
ADANIENSOL,UP
ADANIENT,UP
ADANIGREEN,UP
ADANIPORTS,UP
ADANIPOWER,UP
AMBUJACEM,UP
APOLLOHOSP,UP
ASIANPAINT,UP
ATGL,UP
AXISBANK,UP
BAJAJ-AUTO,UP
BAJAJFINSV,UP
BAJAJHLDNG,UP
BAJFINANCE,UP
BANKBARODA,UP
BEL,UP
BHARTIARTL,UP
BHEL,UP
BOSCHLTD,UP
BPCL,UP
BRITANNIA,UP
CANBK,UP
CHOLAFIN,UP
CIPLA,UP
COALINDIA,UP
DABUR,UP
DIVISLAB,UP
DLF,FLAT
DMART,UP
DRREDDY,UP
EICHERMOT,UP
GAIL,UP
GODREJCP,UP
GRASIM,UP
HAL,UP
HAVELLS,UP
HCLTECH,UP
HDFCBANK,UP
HDFCLIFE,UP
HEROMOTOCO,UP
HINDALCO,UP
HINDUNILVR,UP
ICICIBANK,UP
ICICIGI,UP
ICICIPRULI,UP
INDIGO,UP
INDUSINDBK,UP
INFY,UP
IOC,UP
IRCTC,UP
IRFC,UP
ITC,UP
JINDALSTEL,UP
JIOFIN,UP
JSWENERGY,UP
JSWSTEEL,UP
KOTAKBANK,UP
LICI,UP
LODHA,FLAT
LT,UP
LTIM,UP
MARUTI,UP
M&M,UP
MOTHERSON,UP
NAUKRI,UP
NESTLEIND,UP
NHPC,FLAT
NTPC,UP
ONGC,UP
PFC,UP
PIDILITIND,UP
PNB,UP
POWERGRID,UP
RECLTD,UP
RELIANCE,UP
SBILIFE,UP
SBIN,UP
SHREECEM,UP
SHRIRAMFIN,UP
SIEMENS,UP
SUNPHARMA,UP
TATACONSUM,UP
TATAMOTORS,UP
TATAPOWER,UP
TATASTEEL,UP
TCS,UP
TECHM,UP
TITAN,UP
TORNTPHARM,UP
TRENT,UP
TVSMOTOR,UP
ULTRACEMCO,UP
UNIONBANK,UP
UNITDSPR,UP
VBL,UP
VEDL,UP
WIPRO,UP
ZOMATO,UP
ZYDUSLIFE,UP
