symbol,peer_1,peer_2,peer_3,peer_4,peer_5
ABB,LTIM,IRCTC,BRITANNIA,ASIANPAINT,NESTLEIND
DMART,JINDALSTEL,UNITDSPR,TATACONSUM,TATAPOWER,ATGL
HDFCLIFE,SBILIFE,EICHERMOT,DIVISLAB,CHOLAFIN,BAJFINANCE
PFC,IRFC,UNIONBANK,RECLTD,BANKBARODA,INDUSINDBK
DIVISLAB,BAJAJ-AUTO,BEL,INFY,EICHERMOT,CHOLAFIN
BHEL,HAVELLS,AMBUJACEM,DABUR,TITAN,PIDILITIND
TCS,INFY,ITC,SBIN,BAJAJ-AUTO,ICICIPRULI
TATASTEEL,GRASIM,ADANIENT,JSWSTEEL,TATAMOTORS,BAJAJFINSV
CHOLAFIN,BAJFINANCE,DIVISLAB,BAJAJ-AUTO,EICHERMOT,HDFCLIFE
COALINDIA,INDIGO,HINDUNILVR,HEROMOTOCO,HINDALCO,BAJFINANCE
SUNPHARMA,SIEMENS,GODREJCP,TITAN,PIDILITIND,APOLLOHOSP
GODREJCP,JSWENERGY,TITAN,ZYDUSLIFE,APOLLOHOSP,DRREDDY
SIEMENS,SUNPHARMA,GODREJCP,TITAN,APOLLOHOSP,PIDILITIND
NHPC,POWERGRID,TORNTPHARM,DLF,DABUR,ASIANPAINT
BRITANNIA,NESTLEIND,ASIANPAINT,ABB,TECHM,LTIM
UNITDSPR,JINDALSTEL,DMART,ADANIENSOL,TATAPOWER,LODHA
CANBK,BANKBARODA,KOTAKBANK,ICICIBANK,UNIONBANK,PNB
GRASIM,ADANIENT,WIPRO,JINDALSTEL,TATAPOWER,ULTRACEMCO
DLF,DABUR,TORNTPHARM,NHPC,AMBUJACEM,POWERGRID
ADANIENT,GRASIM,JINDALSTEL,TATAPOWER,DMART,BAJAJFINSV
CIPLA,HINDALCO,VBL,TRENT,SHREECEM,ATGL
NTPC,M&M,SBIN,LT,GAIL,BPCL
HDFCBANK,HINDALCO,AXISBANK,LICI,UNIONBANK,PNB
RECLTD,IRFC,PFC,POWERGRID,UNIONBANK,INDUSINDBK
