symbol,last_actual,forecast_next_year,trend
RELIANCE,899041,836043.32,UP
IOC,776352,695207.76,UP
LICI,845966,894917.87,UP
ONGC,591396,622707.77,UP
BPCL,448083,410597.15,UP
TATAMOTORS,437928,367715.83,UP
SBIN,439189,384242.56,UP
TATASTEEL,229171,229327.11,UP
TCS,240893,241711.26,UP
HINDALCO,215962,214887.79,UP
LT,221113,203759.47,UP
HDFCBANK,283649,221039.86,UP
NTPC,178501,168464.7,UP
BHARTIARTL,149982,132971.14,UP
COALINDIA,142324,135124.5,UP
M&M,139078,119009.7,UP
VEDL,143727,153042.38,UP
INFY,153670,151856.05,UP
JSWSTEEL,175006,164774.06,UP
ICICIBANK,159516,134456.11,UP
